;_id;zip;scrapedate;Boligareal;Vgtet_areal;Grundareal;Rum_vrelser;Antal_plan;Bygger;Energimrke;Ejerudgifter_pr__md_;Pris_m_;Liggetid;Tidligere_salgspris;Udbetaling;Brutto_ekskl__ejerudgifter;Netto_ekskl__ejerudgifter;Ombygget;Klder;Prisudvikling;Boligydelse;Forbrugsafh__forhold;Teknisk_pris;pris
149;46805100;4632;12-08-2022;89;160;1254;31;1;1920;NA;2629;14969;133;NA;120000;11901;9840;1976;NA;NA;NA;NA;NA;2395040
150;46805166;4632;12-08-2022;198;161;901;54;1;1969;NA;2977;21708;120;NA;175000;18586;15035;NA;NA;3;NA;NA;NA;3494988
151;47502896;4632;12-08-2022;117;113;53790;64;NA;1923;NA;2124;37611;462;NA;215000;22409;18128;1993;NA;NA;NA;NA;NA;4250043
152;87508274;8850;12-08-2022;143;248;525;54;3;1946;NA;1494;3206;193;NA;40000;4235;3401;NA;17;9;NA;NA;NA;795088
153;88203380;8850;12-08-2022;61;71;265;21;1;1900;NA;768;6972;717;NA;25000;2915;2299;2008;NA;17;NA;NA;NA;495012
154;60204910;6091;12-08-2022;208;216;298441;54;1;2000;NA;6598;92593;161;NA;1,00E+06;105219;84611;NA;NA;NA;NA;NA;NA;20000088
155;60205138;6091;12-08-2022;186;NA;810;54;1;2018;2015;3028;19328;104;NA;180000;18972;15255;NA;NA;NA;NA;NA;NA;NA
156;60205111;6091;12-08-2022;170;206;725;65;3;1936;NA;2592;19393;147;NA;2,00E+05;21074;16946;NA;105;5;NA;NA;NA;3994958
157;68503726;6857;12-08-2022;174;NA;1622;65;1;2016;2010;3969;25000;462;NA;220000;22944;18499;NA;NA;NA;NA;NA;NA;NA
158;68500717;6857;12-08-2022;150;NA;2037;32;1;2012;NA;3286;25000;3589;NA;190000;17048;14347;NA;NA;NA;NA;NA;NA;NA
159;42303094;4242;12-08-2022;137;146;33196;64;2;1870;NA;2635;10925;150;NA;80000;8458;6822;1992;NA;11;NA;NA;NA;1595050
160;43402235;4242;12-08-2022;108;117;886;54;3;1924;NA;1755;5085;269;NA;30000;3202;2582;1984;3;34;NA;NA;NA;594945
161;54101933;5400;12-08-2022;232;245;2892;86;1;1747;NA;2031;6510;123;NA;80000;8464;6761;NA;NA;NA;NA;NA;NA;1594950
162;54101992;5400;12-08-2022;104;114;2840;32;1;1967;NA;NA;NA;NA;NA;35000;3734;2982;NA;NA;NA;NA;NA;NA;NA
163;54101886;5400;12-08-2022;100;144;1902;53;3;1964;NA;1684;5521;330;NA;40000;4255;3398;NA;67;6;NA;NA;NA;795024
164;54101974;5400;12-08-2022;240;168;25524;107;NA;1982;NA;2887;11875;123;NA;1,00E+05;10568;8442;2011;NA;13;NA;NA;NA;1995000
165;54101799;5400;12-08-2022;100;112;26776;32;NA;1877;NA;2166;8438;461;NA;50000;5029;4017;NA;NA;5;NA;NA;NA;945056
166;54101848;5400;12-08-2022;166;171;5780;64;2;1892;NA;1786;6988;386;NA;60000;6359;5079;1985;NA;NA;NA;NA;NA;1194948
167;54101957;5400;12-08-2022;122;139;1300;53;2;1944;NA;1552;5719;196;NA;40000;4255;3398;2013;35;NA;NA;NA;NA;794941
168;54101922;5400;12-08-2022;161;160;1623;63;3;1890;NA;1717;4688;209;NA;40000;4004;3198;2001;NA;21;NA;NA;NA;750080
169;47604793;4793;12-08-2022;115;NA;440;43;NA;2022;2020;1468;17348;402;NA;1,00E+05;10584;8519;NA;NA;NA;NA;NA;NA;NA
170;47802574;4793;12-08-2022;122;125;1039;43;1;1961;NA;2072;12400;86;NA;80000;8175;6580;NA;NA;NA;NA;NA;NA;1550000
171;62304107;6392;12-08-2022;134;143;900;53;3;1942;NA;1329;6958;341;NA;50000;5375;4316;NA;NA;8;NA;NA;NA;994994
172;62304310;6392;12-08-2022;151;160;1091;54;1;1979;NA;1528;5594;157;NA;45000;4794;3849;1992;NA;NA;NA;NA;NA;895040
173;70601860;7080;12-08-2022;112;130;273;53;3;1912;NA;1639;5346;248;NA;35000;3736;3060;NA;54;22;NA;NA;NA;694980
174;47802222;4791;12-08-2022;124;139;2050;53;2;1900;NA;1813;7518;400;NA;55000;5579;4494;2001;NA;13;NA;NA;NA;1045002
175;47802427;4791;12-08-2022;64;72;776;31;1;1942;NA;1001;3819;337;NA;25000;1455;1171;NA;NA;15;NA;NA;NA;274968
176;47802489;4791;12-08-2022;164;188;2199;43;2;1880;NA;1740;2926;247;NA;30000;2960;2382;NA;NA;35;NA;NA;NA;550088
177;47802570;4791;12-08-2022;167;182;1326;52;2;1901;NA;1511;5357;87;NA;50000;5218;4203;NA;NA;NA;NA;NA;NA;974974
