"","zip","Boligareal","Vgtet_areal","Grundareal","rum","vaer","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris","nedslag"
"1191",5953,104,149,1204,3,1,2,1947,1408,3859,134,30000,3102,2468,0,104,11,574991,71066
"1192",5953,135,156,1132,4,2,1,1820,1436,7660,347,60000,6381,5078,1880,10,6,1194960,76274
"1193",5953,97,100,389,3,2,3,1899,1127,5450,652,30000,2934,2334,1986,3,0,545000,0
"1194",5953,234,235,590,6,4,3,1912,1417,2532,255,30000,3214,2557,1992,8,8,595020,51741
"1195",5953,134,156,565,3,2,3,1936,1366,4776,197,40000,3991,3175,1980,42,12,745056,101599
"1196",5953,186,198,953,5,4,2,1885,1810,1944,360,25000,2072,1648,1997,4,34,384912,198288
"1197",5953,175,177,1035,6,4,2,1827,1768,10085,193,90000,9493,7555,1976,0,0,1785045,0
"1198",8570,140,146,980,4,2,1,1976,1808,5788,212,45000,4504,3598,0,0,0,845048,0
"1199",4030,116,169,800,3,2,2,1965,3233,18639,156,160000,16554,13469,0,116,7,3149991,237096
"1200",4030,121,126,653,5,2,1,1860,2976,26944,129,170000,17925,14585,1998,0,3,3394944,104998
"1201",4682,141,156,748,6,4,1,1979,2646,17276,123,135000,14301,11559,0,0,4,2695056,112294
"1202",4682,120,130,802,4,2,1,1967,2291,14577,93,95000,10042,8116,1972,0,5,1895010,99737
"1203",4682,288,147,2413,5,4,2,1924,2792,23122,280,170000,18122,14659,2018,0,3,3398934,105122
"1204",9382,120,130,930,3,2,1,1957,1392,5369,366,35000,3755,3017,0,0,13,697970,104294
"1205",4350,217,234,714,6,5,3,1900,2102,5107,444,60000,6961,5502,0,50,15,1195038,210889
"1206",6990,158,168,876,6,4,1,1973,1727,7440,350,65000,6612,5304,0,0,0,1249920,0
"1207",6990,154,178,889,6,4,3,1907,1529,4213,98,40000,4023,3227,0,10,0,749914,0
"1208",6990,166,185,690,3,2,3,1935,1468,6351,210,60000,6282,5043,1997,16,6,1174935,74996
"1209",6990,193,201,1111,5,4,1,1973,1906,9925,169,0,11566,9112,0,0,5,1994925,104996
"1210",6990,131,143,850,5,5,1,2008,1233,14650,296,105000,9685,8176,0,0,0,2094950,0
"1211",6990,152,158,854,6,5,1,1979,1594,4747,154,40000,4015,3223,0,0,0,750026,0
"1212",6990,83,103,1000,3,2,2,1962,758,4320,367,25000,2405,1928,0,47,10,444960,49440
"1213",6990,136,155,816,5,4,1,1966,1049,4839,154,40000,3993,3203,0,0,0,750045,0
"1214",6990,58,77,598,4,3,2,1940,1181,4545,900,25000,2046,1612,2002,48,18,349965,76822
"1215",6990,64,77,521,3,2,1,1945,996,5130,379,25000,2116,1697,0,0,7,395010,29732
"1216",6990,157,159,840,4,3,2,1980,1338,6258,878,50000,4986,4094,0,0,5,995022,52370
"1217",6990,222,215,510,10,7,2,1902,1097,2302,347,25000,2699,2166,0,0,0,494930,0
"1218",6990,157,166,538,4,3,2,1914,1358,2982,773,25000,2681,2151,0,0,21,495012,131585
"1219",6990,160,184,1977,8,5,2,1920,1291,3505,113,35000,3441,2773,1978,0,0,644920,0
"1220",5540,159,188,720,6,6,2,1971,1918,7952,344,75000,7363,6010,1978,39,0,1494976,0
"1221",5540,214,223,1074,6,4,2,1973,2604,7399,422,85000,8733,6965,1983,0,3,1649977,51030
"1222",5540,197,205,920,7,4,1,1990,2513,8268,760,85000,9837,7693,0,0,6,1694940,108188
"1223",5540,255,306,1516,7,6,3,1973,2880,8154,97,125000,13193,10513,0,135,2,2495124,50921
"1224",5540,169,177,826,8,7,3,1875,1500,5367,121,50000,5497,4299,2010,0,0,949959,0
"1225",5540,113,134,1202,5,4,3,1928,1980,8209,97,55000,5496,4486,0,20,0,1100006,0
"1226",5540,243,257,1205,8,8,1,1967,3408,11654,359,150000,15898,12680,1976,40,0,2995078,0
"1227",2665,126,132,911,4,3,1,1973,3930,34091,178,225000,23797,19139,1994,0,10,4500012,500001
"1228",6580,201,276,1214,7,4,3,1890,2456,5054,735,70000,6271,5295,1976,24,7,1394904,104993
"1229",6580,145,148,516,4,3,2,1900,1762,8750,147,65000,6305,5179,0,4,0,1295000,0
"1230",6580,245,253,2418,6,5,2,1900,2906,6700,478,85000,9843,7767,1986,0,6,1695100,108198
"1231",6580,218,220,939,6,4,1,1924,1697,6795,219,75000,7953,6395,1979,6,15,1494900,263806
"1232",6580,254,248,1124,9,7,2,1938,2022,3609,296,45000,4796,3852,1993,0,10,895032,99448
"1233",6580,189,205,1471,7,5,1,1986,2593,8756,245,90000,10420,8222,0,0,3,1794980,55515
"1234",6580,158,159,881,5,4,2,1900,2182,6258,303,50000,5324,4280,2005,0,9,995022,98409
"1235",6580,172,225,572,6,4,2,1977,1909,6867,86,80000,8196,6585,0,110,0,1545075,0
"1236",6580,167,171,910,5,4,1,1961,1977,7012,309,60000,6379,5128,0,0,7,1199052,90251
"1237",6580,163,160,521,7,4,2,1877,1975,6156,570,50000,5725,4518,2007,0,24,984960,311040
"1238",6580,130,154,803,6,5,3,1897,1931,4188,273,35000,3457,2779,0,8,0,644952,0
"1239",6580,146,150,665,5,3,2,1903,1890,6300,630,50000,5025,4040,2003,5,5,945000,49737
"1240",6580,149,137,818,4,3,1,1827,1774,6204,99,45000,4529,3641,0,0,0,849948,0
"1241",6580,190,202,1379,5,4,3,1927,2261,12847,172,130000,13730,11039,0,28,0,2595094,0
"1242",6580,190,195,403,6,5,2,1912,1949,5872,667,60000,6095,4900,0,0,8,1145040,99569
"1243",6580,197,203,678,5,4,2,1917,2084,7118,434,75000,7729,6215,2009,0,0,1444954,0
"1244",6580,150,190,670,7,4,3,1907,1824,3947,924,40000,4002,3215,1989,8,11,749930,92688
"1245",6580,130,136,1071,4,3,1,1993,2029,10257,86,70000,7394,5940,0,0,0,1394952,0
"1246",6580,176,180,819,5,3,1,1981,2415,9972,152,90000,8991,7394,1993,0,4,1794960,74790
"1247",7184,85,119,620,3,1,2,1954,1493,5420,198,35000,3235,2706,0,85,7,644980,48547
"1248",6800,90,100,1312,4,3,1,1952,2497,7500,275,40000,4041,3260,0,0,0,750000,0
"1249",6800,207,215,956,6,5,1,1971,1731,4163,3361,45000,4793,3863,1978,0,10,895045,99449
"1250",6800,181,189,749,7,6,2,1973,1744,9497,337,90000,9516,7671,1978,0,4,1794933,74789
"1251",6800,163,198,1957,6,4,3,1961,3018,17652,1534,175000,18509,14922,0,53,0,3495096,0
"1252",6800,150,89,487,5,5,2,1695,2582,14551,415,65000,6903,5565,1986,0,13,1295039,193512
"1253",6800,141,172,338,6,2,3,1935,2091,9215,101,80000,8430,6796,0,86,0,1584980,0
"1254",6800,105,109,597,3,2,1,1983,1381,4541,205,25000,2683,2162,0,0,14,494969,80576
"1255",6800,188,191,704,5,4,2,1968,2433,10445,99,0,10596,8542,0,0,5,1994995,105000
"1256",6800,151,159,700,4,3,1,1970,1771,7535,149,60000,6434,5190,0,0,0,1198065,0
"1257",6800,111,118,805,3,2,1,1972,1542,6737,1038,40000,4293,3463,0,0,0,794966,0
"1258",6800,159,94,218,5,2,1,1900,1893,17000,4175,80000,8503,6855,1984,40,6,1598000,102000
"1259",6800,158,165,1183,4,3,1,1975,3112,13303,269,110000,11650,9392,0,0,7,2194995,165215
"1260",6800,172,190,1398,6,4,1,1977,2098,10516,107,0,10612,8556,0,0,0,1998040,0
"1261",6800,120,131,520,5,3,3,1928,2576,19046,108,125000,13234,10669,0,33,0,2495026,0
"1262",6800,140,143,748,4,3,1,1982,2448,12413,158,90000,9429,7602,0,0,6,1775059,113302
