"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"159",4242,137,146,33196,64,2,1870,2635,10925,150,80000,8458,6822,1992,0,11,1595050
"160",4242,108,117,886,54,3,1924,1755,5085,269,30000,3202,2582,1984,3,34,594945
"161",5400,232,245,2892,86,1,1747,2031,6510,123,80000,8464,6761,0,0,0,1594950
"162",5400,104,114,2840,32,1,1967,NA,NA,0,35000,3734,2982,0,0,0,NA
"163",5400,100,144,1902,53,3,1964,1684,5521,330,40000,4255,3398,0,67,6,795024
"164",5400,240,168,25524,107,NA,1982,2887,11875,123,0,10568,8442,2011,0,13,1995000
"165",5400,100,112,26776,32,NA,1877,2166,8438,461,50000,5029,4017,0,0,5,945056
"166",5400,166,171,5780,64,2,1892,1786,6988,386,60000,6359,5079,1985,0,0,1194948
"167",5400,122,139,1300,53,2,1944,1552,5719,196,40000,4255,3398,2013,35,0,794941
"168",5400,161,160,1623,63,3,1890,1717,4688,209,40000,4004,3198,2001,0,21,750080
"169",4793,115,NA,440,43,NA,2022,1468,17348,402,0,10584,8519,0,0,0,NA
"170",4793,122,125,1039,43,1,1961,2072,12400,86,80000,8175,6580,0,0,0,1550000
"171",6392,134,143,900,53,3,1942,1329,6958,341,50000,5375,4316,0,0,8,994994
"172",6392,151,160,1091,54,1,1979,1528,5594,157,45000,4794,3849,1992,0,0,895040
"173",7080,112,130,273,53,3,1912,1639,5346,248,35000,3736,3060,0,54,22,694980
"174",4791,124,139,2050,53,2,1900,1813,7518,400,55000,5579,4494,2001,0,13,1045002
"175",4791,64,72,776,31,1,1942,1001,3819,337,25000,1455,1171,0,0,15,274968
"176",4791,164,188,2199,43,2,1880,1740,2926,247,30000,2960,2382,0,0,35,550088
"177",4791,167,182,1326,52,2,1901,1511,5357,87,50000,5218,4203,0,0,0,974974
"178",4140,352,109,614,44,2,1912,3635,45413,241,250000,26091,21106,2003,0,8,4950017
"179",7650,101,104,579,32,1,1988,NA,NA,0,25000,2517,2018,0,0,0,NA
"180",7650,140,146,700,54,2,1964,1039,2705,280,25000,2120,1700,1978,0,20,394930
"181",7650,160,187,266,118,3,1931,942,1845,1330,25000,1732,1422,0,50,30,345015
"182",6740,151,194,16968,54,1,1920,1788,9268,503,90000,8708,7147,2010,0,0,1797992
"183",6740,147,178,2218,43,3,1947,NA,NA,0,70000,7420,5951,1999,5,0,NA
"184",6740,124,125,351,43,2,1900,1302,6784,143,45000,4149,3405,0,0,0,848000
"185",6740,210,220,918,75,2,1976,2386,7264,168,80000,9220,7262,1980,0,5,1598080
"186",6740,91,95,1542,43,1,1968,1051,6821,1178,35000,3555,2853,0,0,0,647995
"187",6740,201,206,1018,54,3,1932,1765,3859,120,40000,4286,3439,1978,10,0,794954
"188",6740,92,120,384,43,3,1949,1467,10817,673,65000,6306,5175,0,64,10,1298040
"189",6740,182,187,938,54,1,2005,NA,NA,0,130000,13678,10970,0,0,0,NA
"190",6740,167,169,723,75,2,1977,2073,7544,134,65000,7117,5713,1979,0,0,1274936
"191",6740,119,132,2226,43,1,1860,1160,2462,1147,25000,1738,1395,0,0,24,324984
"192",6261,140,147,358,54,2,1929,1196,4048,497,30000,3195,2565,0,0,8,595056
"193",6261,80,85,967,21,2,1928,1037,5706,127,25000,2627,2110,0,0,8,485010
"194",6261,110,116,1026,43,2,1954,1062,3879,130,25000,2425,1949,0,0,0,449964
"195",6261,137,164,1159,43,2,1949,1138,3628,270,30000,3201,2571,0,0,13,594992
"196",5464,143,160,998,54,2,1920,1324,6844,203,55000,5852,4689,1977,0,7,1095040
"197",5464,144,141,218,53,4,1880,1353,7057,127,50000,5574,4470,2014,12,0,995037
"198",5464,102,151,718,43,2,1960,1589,4603,323,35000,3721,2981,0,102,0,695053
"199",5464,225,222,1346,77,1,1880,2812,7860,241,90000,9619,7715,1993,0,8,1744920
"200",6310,102,109,530,52,1,1800,1252,5275,164,30000,3099,2485,1996,0,15,574975
"201",5672,137,150,1065,54,3,1900,1478,8633,193,65000,6959,5558,2002,7,4,1294950
"202",5672,184,192,2876,54,2,1910,NA,NA,0,45000,4528,3613,1978,0,0,NA
"203",5672,183,186,631,75,2,1911,1712,6694,350,65000,6611,5280,1980,0,11,1245084
"204",5672,96,102,439,55,2,1900,1142,5392,3199,30000,2962,2363,1975,0,11,549984
"205",5672,109,116,417,32,3,1933,1177,5991,886,35000,3144,2638,1998,12,7,694956
"206",5672,165,211,3307,54,2,1978,2701,18934,139,0,19314,15787,0,115,0,3995074
"207",5672,270,297,2705,75,2,1877,3678,4360,302,65000,7533,5900,1973,0,13,1294920
"208",5672,126,133,1119,53,2,1910,1622,9586,214,65000,7412,5805,0,0,4,1274938
"209",5672,350,342,3846,1210,1,1877,1833,8757,99,150000,15884,12676,1994,0,0,2994894
"210",5672,106,111,1105,43,1,1989,NA,NA,168,0,NA,NA,0,0,0,NA
"211",5672,83,97,2975,32,1,1827,2007,7165,463,35000,3144,2638,1970,0,0,695005
"212",5672,150,130,3219,43,2,1827,1226,13808,122,90000,9549,7620,2006,0,0,1795040
"213",2660,135,137,996,54,2,1999,4294,47409,0,325000,37513,29998,0,0,0,6495033
"214",2605,85,97,860,32,1,1957,2929,33505,170,165000,17196,13996,0,31,4,3249985
"215",2605,301,103,1007,97,1,2021,4742,79563,126,410000,43301,35218,0,0,0,8194989
"216",9700,131,144,3814,53,1,1883,1435,4826,437,35000,3541,2899,1991,0,11,694944
"217",2700,86,104,821,32,1,1956,5756,39375,135,205000,21594,17643,0,30,0,4095000
"218",2700,87,105,785,43,3,1932,3190,42810,106,225000,25803,20737,0,87,10,4495050
"219",6650,116,115,862,43,2,1905,1099,4304,1932,25000,2508,2063,0,0,17,494960
"220",6650,195,373,10954,73,1,1866,3061,3472,1891,65000,6903,5554,1987,0,13,1295056
"221",6650,248,243,1019,65,2,1979,2276,7387,2275,90000,8313,7033,0,0,0,1795041
"222",9460,138,196,7895,43,NA,1916,NA,NA,0,30000,3230,2582,0,0,0,NA
"223",9460,138,143,1012,43,1,1963,1337,4545,127,35000,3476,2782,0,0,0,649935
"224",9460,126,132,562,33,2,1870,1035,3295,398,25000,2341,1873,0,0,0,434940
"225",9460,151,136,586,43,2,1872,1100,4154,127,30000,3042,2434,0,0,16,564944
"226",9460,86,92,229,42,NA,1877,741,4076,92,25000,2007,1606,0,0,0,374992
"227",9460,123,129,888,43,1,1980,1327,6589,127,45000,4527,3624,0,0,0,849981
"228",9460,133,139,583,42,2,1923,1202,5719,176,40000,4252,3403,1974,0,0,794941
"229",9460,88,123,985,32,2,1963,1451,5285,98,35000,3476,2782,1983,72,0,650055
"230",9460,170,181,825,54,1,1969,1477,4006,163,40000,3863,3091,0,0,3,725086
"231",9460,100,102,986,43,1,1966,1185,6814,2765,35000,3726,2981,0,0,0,695028
"232",9460,221,235,3863,75,NA,1926,NA,NA,0,45000,4537,3631,2001,0,0,NA
"233",9460,280,NA,2360,53,1,1995,1486,1964,154,30000,2950,2360,0,140,15,NA
"234",9460,210,209,1879,75,2,1902,1547,2847,99,30000,3201,2561,1976,0,8,595023
"235",9460,200,208,552,65,2,1910,1303,3822,3292,40000,4252,3403,1978,0,0,794976
"236",9460,106,120,1022,33,1,1969,1337,3958,132,25000,2564,2051,0,0,0,474960
"237",9460,174,178,9345,33,NA,1926,1343,2219,87,25000,2118,1695,1980,0,0,394982
"238",9460,111,118,428,43,1,1974,1113,5042,1742,30000,3201,2561,1998,0,30,594956
"239",9460,166,173,772,65,2,1909,1527,4017,1989,35000,3726,2981,1975,0,0,694941
"240",9460,153,166,1166,43,1,1974,NA,NA,0,35000,3721,2975,0,0,0,NA
"241",9460,120,125,495,53,2,1934,NA,NA,0,25000,1861,1488,0,0,0,NA
"242",9460,72,75,804,21,1,1875,838,4867,3292,25000,1952,1562,1942,0,0,365025
"243",9460,184,201,2068,87,3,1904,1540,3209,1548,35000,3447,2759,1956,27,17,645009
"244",9460,130,134,672,32,2,1932,1168,2948,1522,25000,2118,1695,1968,0,21,395032
"245",9460,126,134,777,43,1,1976,1327,5955,101,40000,4268,3416,0,0,0,797970
"246",9460,200,230,1180,75,1,1960,1592,3587,869,45000,4388,3512,1968,0,3,825010
"247",9460,120,NA,552,22,2,1928,1092,4375,303,30000,2811,2250,1976,0,9,NA
"248",9460,134,137,836,43,1,1972,1526,6204,126,45000,4527,3624,0,0,0,849948
"249",9460,128,168,8630,43,2,1910,1225,4137,466,35000,3726,2981,2003,0,22,695016
"250",9460,132,140,850,43,1,1965,NA,NA,0,25000,2674,2140,0,0,0,NA
"251",9460,175,197,2333,66,NA,1902,1295,3020,154,30000,3212,2569,1984,0,8,594940
"252",9460,134,141,765,64,1,1968,1296,5667,652,40000,4274,3420,1998,0,0,799047
"253",9460,140,269,3549,54,NA,1900,1015,1673,416,25000,2424,1940,1976,0,0,450037
"254",8654,103,124,453,73,3,1954,836,4798,245,30000,3021,2482,1976,45,0,594952
